wykladowca;przedmiot;typ;tryb;płeć;o1;o2;o3;o4;o5;o6;o7;o8;o9;o10;Uwagi;kierunek;rok;miejsce;
Wykładowca-015;Zarządzanie;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-022;Statystyka Opisowa;Ćwiczenia;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-020;Statystyka Opisowa;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-028;Mikroekonomia;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-085;Język obcy - język angielski;Ćwiczenia;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-029;Finanse publiczne;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-035;Finanse przedsiębiorstw;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-015;Zarządzanie;Wykład;Niestacjonarne;Mężczyzna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-022;Statystyka Opisowa;Ćwiczenia;Niestacjonarne;Mężczyzna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-020;Statystyka Opisowa;Wykład;Niestacjonarne;Mężczyzna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-028;Mikroekonomia;Wykład;Niestacjonarne;Mężczyzna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-085;Język obcy - język angielski;Ćwiczenia;Niestacjonarne;Mężczyzna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-029;Finanse publiczne;Wykład;Niestacjonarne;Mężczyzna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-035;Finanse przedsiębiorstw;Wykład;Niestacjonarne;Mężczyzna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-015;Zarządzanie;Wykład;Niestacjonarne;Kobieta;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;EKO;1;KWI;
Wykładowca-022;Statystyka Opisowa;Ćwiczenia;Niestacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;EKO;1;KWI;
Wykładowca-020;Statystyka Opisowa;Wykład;Niestacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;EKO;1;KWI;
Wykładowca-028;Mikroekonomia;Wykład;Niestacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;EKO;1;KWI;
Wykładowca-085;Język obcy - język angielski;Ćwiczenia;Niestacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;EKO;1;KWI;
Wykładowca-029;Finanse publiczne;Wykład;Niestacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;EKO;1;KWI;
Wykładowca-035;Finanse przedsiębiorstw;Wykład;Niestacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;EKO;1;KWI;
Wykładowca-015;Zarządzanie;Wykład;Niestacjonarne;Mężczyzna;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;EKO;1;KWI;
Wykładowca-022;Statystyka Opisowa;Ćwiczenia;Niestacjonarne;Mężczyzna;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;EKO;1;KWI;
Wykładowca-020;Statystyka Opisowa;Wykład;Niestacjonarne;Mężczyzna;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;EKO;1;KWI;
Wykładowca-028;Mikroekonomia;Wykład;Niestacjonarne;Mężczyzna;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;EKO;1;KWI;
Wykładowca-085;Język obcy - język angielski;Ćwiczenia;Niestacjonarne;Mężczyzna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;EKO;1;KWI;
Wykładowca-029;Finanse publiczne;Wykład;Niestacjonarne;Mężczyzna;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;EKO;1;KWI;
Wykładowca-035;Finanse przedsiębiorstw;Wykład;Niestacjonarne;Mężczyzna;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;EKO;1;KWI;
Wykładowca-015;Zarządzanie;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-022;Statystyka Opisowa;Ćwiczenia;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-020;Statystyka Opisowa;Wykład;Niestacjonarne;Kobieta;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-028;Mikroekonomia;Wykład;Niestacjonarne;Kobieta;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-085;Język obcy - język angielski;Ćwiczenia;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-029;Finanse publiczne;Wykład;Niestacjonarne;Kobieta;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-035;Finanse przedsiębiorstw;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-015;Zarządzanie;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;EKO;1;KWI;
Wykładowca-022;Statystyka Opisowa;Ćwiczenia;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;nie mam zdania;;EKO;1;KWI;
Wykładowca-020;Statystyka Opisowa;Wykład;Niestacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;zgadzam się;nie mam zdania;zgadzam się;nie mam zdania;;EKO;1;KWI;
Wykładowca-028;Mikroekonomia;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zgadzam się;nie mam zdania;zgadzam się;uważam za interesujący;;EKO;1;KWI;
Wykładowca-085;Język obcy - język angielski;Ćwiczenia;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem;zgadzam się;nie mam zdania;zgadzam się;uważam za interesujący;;EKO;1;KWI;
Wykładowca-029;Finanse publiczne;Wykład;Niestacjonarne;Kobieta;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;EKO;1;KWI;
Wykładowca-035;Finanse przedsiębiorstw;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;EKO;1;KWI;
Wykładowca-015;Zarządzanie;Wykład;Niestacjonarne;Mężczyzna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-022;Statystyka Opisowa;Ćwiczenia;Niestacjonarne;Mężczyzna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-020;Statystyka Opisowa;Wykład;Niestacjonarne;Mężczyzna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-028;Mikroekonomia;Wykład;Niestacjonarne;Mężczyzna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-085;Język obcy - język angielski;Ćwiczenia;Niestacjonarne;Mężczyzna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-029;Finanse publiczne;Wykład;Niestacjonarne;Mężczyzna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-035;Finanse przedsiębiorstw;Wykład;Niestacjonarne;Mężczyzna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
Wykładowca-015;Zarządzanie;Wykład;Niestacjonarne;Mężczyzna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;EKO;1;KWI;
